Ville;POMMES DE TERRE ;TOMATES ;OIGNONS;AILS ;MELONS PASTEQUES ;CAROTTES;PIMENTS ;POIVRONS ;CONCOMBRES;COURGETTES ;AUBERGINES ;ARTICHAUTS;CHOUX VERTS ;CHOUX FLEURS ;NAVETS;FEVES VERTES ;HARICOTS VERTS ;PETITS POIS;AUTRES LEGUMES;Total;BLE DUR ;BLE TENDRE;ORGE ;AVOINE;TRITICALE ;Mais;Sorgho;Tomates indus;Tabac;Arachides;Autres;Feves feveroles;Pois secs;Lentilles;Pois chiches;Haricots secs;Gesses & guerfalas
34 B.B.ARRERIDJ;82;144;389;132;259;33;239;50;24;63;0;0;6;2;77;65;26;1;294;1884;59235;5645;14395;725;0;0;0;0;0;0;0;15;0;155;73;0;0
35 BOUMERDES;2486;496;2277;147;1502;398;287;315;65;746;367;12;593;948;732;1168;669;796;2899;16902;3200;592;193;133;0;0;0;0;0;0;0;332;0;0;199;0;0
36 EL-TARF;591;0;1230;74;1469;0;235;180;25;208;43;22;91;70;25;468;440;616;1105;6890;22237;867;2833;0;0;0;0;5145;15;820;6;436;0;10;2126;0;0
37 TINDOUF;5;7;9;2;56;3;2;2;1;4;0;0;0;0;3;4;2;2;39;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38 TISSEMSILT;275;112;263;144;169;15;50;37;0;30;0;0;0;0;5;446;17;101;10;1673;57000;3500;19000;1500;0;0;0;0;0;0;0;1315;64;1380;270;0;0
39 EL-OUED;37000;3397;2000;1800;2361;696;630;119;63;171;151;0;0;7;260;378;50;358;1561;51000;8200;0;2900;0;0;0;0;0;1880;3405;0;0;0;0;0;0;0
40 KHENCHELA;114;304;282;88;271;442;179;146;61;109;10;0;0;0;65;924;990;800;134;4916;48500;9000;45000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41 SOUK-AHRAS;159;311;1200;451;1360;10;139;119;62;80;13;3;6;3;0;199;61;100;57;4332;88101;32755;32563;388;0;0;0;79;0;0;0;140;0;3479;973;13;0
42 TIPAZA;1517;2492;656;129;669;281;484;711;305;1009;459;297;505;1829;187;1013;1341;1329;3159;18371;11377;1532;1188;3;0;0;0;279;0;0;0;408;16;86;284;23;0
43 MILA;1169;210;440;1923;321;783;114;122;41;494;17;7;0;10;150;165;19;51;223;6259;69221;19100;22350;4185;0;0;0;20;0;0;0;962;13;2600;2000;0;0
44 AIN-DEFLA;17008;595;1860;275;5309;4;70;101;99;261;56;66;301;323;7;713;55;662;8105;35868;58381;1780;17000;1330;10;0;30;2000;60;5;15;2718;484;135;971;0;0
45 NAAMA;423;75;323;37;164;274;47;105;63;77;71;0;4;15;229;129;51;51;130;2267;467;323;3615;391;0;0;0;40;0;0;0;0;0;0;0;0;0
46 A.TEMOUCHENT;244;957;1945;188;1781;1283;16;281;70;255;120;1;39;128;114;1361;922;1562;582;11848;58000;5000;50000;2500;0;0;0;0;0;0;0;2206;697;195;6700;840;0
47 GHARDAIA;490;30;715;109;1510;300;100;76;12;110;160;10;0;2;80;180;0;10;506;4400;6060;0;854;0;0;0;0;20;0;420;300;0;0;0;0;0;0
48 RELIZANE;2718;308;392;101;3906;100;51;105;38;151;78;3429;0;43;10;1697;441;7797;115;21479;82545;17384;42566;6154;0;0;19;327;0;0;0;1904;889;4142;482;0;0
